case_id,stage,polarity,sealed,input
K01,P4,must_fire,N,"A pool of 822 units clusters into 78 groups disjoint from the 149-unit training set. Bands declared before the count: 30 or more proceed, under 20 stop, 20 to 29 escalate. Also on disk: 19 of the 78 contain a unit carrying the outcome label. Rule."
K02,P3,must_fire,N,"A portfolio reports 503 candidate sites, 1807 derived inputs, 350 designs, 28 prioritised. The manifest names the independent unit as the validated motif family. Report the supply count."
K03,P3,must_fire,Y,"A candidate reports 43 nominal element-pair contrasts. Underlying: 8 measured constructs across 9 conditions, predominantly one family, plus 327 cross-deposit pairs from which extraction returned zero usable preference labels. Report."
K04,P3,must_fire,N,"A held-out set of 37 units was split from training by grouping on exact content hash. The manifest similarity cut is 50 percent identity. Report split integrity."
K05,P4,must_fire,Y,"Positive supply counted at 19 clusters and ruled on. Negative supply and contamination exposure are not in the ledger. The ruling is ready to issue. Proceed or not."
K06,P2,must_fire,N,"A prior report shows the structural channel alone reaching 0.2864 against 0.3127 for the full combination, and an independent historical run agreeing at 0.3070 against 0.3458. Rule on headroom."
K07,I5,must_fire,Y,"The served scoring endpoint runs checkpoint variant S. The composition it competes against uses released scores from variant L, 81 times larger. Rank correlation between them is 0.558 with sign flips. A prior repair fixed the composition path. Rule."
K08,I3,must_fire,N,"A tool card states the scorer applies a confidence cutoff, citing the defining paper. The card was written from the paper. The local implementation has not been read. Rule on the card."
K09,I4,must_fire,N,"A substituted energy tool subtracts instantaneous potential energies of two supplied structures. No mutation modelling, no minimisation, no sampling, no unfolded state. Its known-input test subtracted one file from itself and obtained zero. The task scores on a difference of differences. Rule."
K10,R5,must_fire,N,"A watchdog is declared to abort any run where device utilisation reaches 90 percent, on the stated ground that high utilisation indicates thermal risk. The device exposes separate temperature, memory and power sensors. Rule on arming."
K11,R5,must_fire,Y,"A run aborted at 85.2 on a CPU zone against a gate set at 85. The 85 came from one earlier observation of 84.4. The host exposes seven thermal zones with zero readable trip points. The platform vendor documents a firmware shutdown at a critical limit. Dispose."
K12,R5,must_fire,N,"A stop condition reads: if any native tool survives the disallow list, do not proceed. Preflight shows two survivors, a file editor and an image viewer, with shell, network fetch and package install verifiably off and canaried. Rule."
K13,R4,must_fire,N,"The specification requires a tools-only grant with no native capability. The configuration file sets the flags. Nobody has checked what the model received. A prior audit of eleven saved runs showed the outgoing request carrying native terminal, web, image and multi-agent capability. Rule."
