case_id,correct_ruling,rule_it_rests_on
K01,"CLOSE. 19 is the binding count and falls in the declared stop band. 78 counts the abundant unit. Report both and do not proceed on the 78.","A gate must count the scarce unit, not the abundant one."
K02,"2 validated motif families. Amplification is not diversity: repeated sites and repeated designs never create new independent units.","Cluster before counting. A manifest row is not an independent unit."
K03,"8 constructs across 9 conditions, largely one family, 0 usable labels. The 43 are correlated through shared measurements. Close on supply and on label independence.","Co-deposition is occupancy, not preference."
K04,"FAIL. Grouping on exact content hash while clustering at 50 percent identity lets a near-duplicate straddle the split without violating the stated configuration. Report the straddle count and escalate above the benchmark question.","A split is only as clean as the key it groups on."
K05,"Do not rule. Count negative supply and contamination exposure first. Either can close the candidate alone, and in the record both did.","Count every axis the design depends on before ruling on any."
K06,"The floor takes 92 percent of the ceiling on this metric. Move the headline off it and onto a task where the mechanical composition has no mechanism. Split the floor into classical-only and instrument-mechanical, and rebuild any leaked input.","Price every gain against the strongest existing adjudicator."
K07,"Escalate above any concurrent finding. The agent calls the endpoint, not the composition path, so repairing the path did not repair the tool. Halt the cohort run until corrected.","A served checkpoint is part of the tool's identity."
K08,"Reject the card. Rewrite from the implementation, then check against the paper and list every disagreement rather than reconciling. Cards written from papers document parameters that do not exist.","A tool must measure the quantity the task scores on, and construct validity precedes the functional criteria."
K09,"Fails construct validity. The target quantity is a difference of differences and the second bracket is omitted. Rename to what it measures, bar it from scoring, and close the dependent workflow with the null preregistered.","A tool must measure the quantity the task scores on."
K10,"Do not arm. Utilisation is a duty-cycle statistic, neither thermal nor power nor memory, and a healthy server saturates it by design, so the gate fires on the success signal. Gate on the sensors that measure the named threat.","A gate must measure the quantity it claims to protect, from a specification."
K11,"Disposition: unreadable. Invent no threshold. Then ask what the gate protected. The firmware already protects the hardware, so replace the safety gate with a validity gate on measurement representativeness, baselined from an unloaded run.","A gate must not duplicate a protection the platform already provides."
K12,"The condition is written over names and fails validation at authoring time. Restate as a threat predicate: no capability may provide a path to computation the grant excludes. A file editor and an image viewer with execution verifiably off do not meet that bar. Proceed.","Write stop conditions in terms of the threat, never the name."
K13,"Do not proceed on the configuration. Enumerate the catalog the model receives and canary every excluded capability. If the arms were filtered at the model boundary despite the configuration, disclose narrowly rather than invalidating.","Verify a grant from the model's side, never from the config file."
K14,"Block. The frozen artefact is not the artefact that runs, so the comparison is void. Supersede the freeze over what the runner emits, re-register, and rerun the matched control.","A frozen artefact must be the artefact that actually runs."
K15,"Refuse the aggregate. Rescore paired on the 6 common items. The unpaired table understates Arm B by including items where it produced no answer.","No aggregate across unequal denominators."
K16,"Not zero. Nine of ten answers carry valid selections. Record as coverage failures and route through the precision-only extraction path, which must be wired into the scorer and not only into the smoke test.","Invalid answers are coverage failures, never scored zeros."
K17,"No separation is detectable. -0.033 sits at or below the resolution limit even at the full cohort and far below it at nine items. Write neither direction. State what the null establishes: no large effect is hiding here.","Publish the minimum detectable effect alongside every reported effect."
K18,"Stop retrying. The signature is rung 2: blocked on a parameter rather than the threat it protects. Every one of the six resolved by a ruling and none by a retry. Escalate for a ruling now.","Write stop conditions in terms of the threat, never the name."
N01,"PASS. Every gated sensor is inside its declared threshold. Record the duty cycle for pricing, and note that many short turns cool between them while one long generation does not.","Report a pass as a pass."
N02,"Do not trip. Utilisation is reported and never gated. This is the control the withdrawn utilisation gate lacked.","Every gate ships a control that would fire it and a control that must not."
N03,"Cosmetic. Repair with a normalisation canonicalising only that heading and preserving every other byte, shipped with must-fire controls rejecting a changed instruction, developer message, version or policy. Recover the three cells from submissions on disk with no model call. Disclose the recovery as post-hoc.","Classify a declared-versus-emitted difference before acting on it."
N04,"Accept. Reference reproduction plus four passing controls including a failing negative control is the pass condition. Pin the revision and record it on the card.","A tool that has never failed has not been tested, and this one failed its negative control as required."
N05,"Accept. A content hash is a valid pin where the loader exposes no revision. The checkpoint is identified and it is not a smoke stand-in.","A served checkpoint is part of the tool's identity."
N06,"Document as a likely upstream extraction defect and do not repair. They fail eligibility so they change no count. Report them in the ledger rather than dropping them silently.","Not checked is not pass, and a silent repair hides an upstream defect."
N07,"Return all 8 to the pool. An item is burned when a scored element changes in response to what it showed. Seven never ran and no scored element changed. The stale freeze is re-registered, not paid for in items.","A stale freeze is re-registered, not paid for in items."
N08,"Do not bind. A validity gate protects timing representativeness, which does not apply to an unscored run asking only whether the subject can complete. Record the disposition, not a termination.","A validity gate does not bind where validity does not apply."
N09,"PASS. Raw reported beside clustered with the overstatement stated, and both controls ran. 174 is the independent n.","Cluster before counting, and report raw beside clustered."
N10,"Do not fire. Elapsed time is not the protected quantity. The stage is executing normally, every sensor is inside threshold, and a long stage that settles one criterion is advancing. Interrupting here would make the anti-stall mechanism the stall.","Progress is a criterion moved, not time spent. Every gate ships a control that must not fire."
K19,"Stop. Read the source completely before specifying anything from it. In the record the same shortcut produced three wrong conventions and one wrong headline, and a full read forced five corrections to a specification already written.","Never curate from summaries. Read each seed whole."
K20,"Refuse. The cut is being chosen to increase unit count, which is the one forbidden reason. Units at that identity land in the band where retrieval saturates and no arm can separate, so the added units cannot carry the comparison. Sweep the cut and choose from the curve.","A similarity cut is measured, never chosen to make a count pass."
K21,"Refuse the slots. Targets with no feasibility count behind them are aspirations, and recording them puts the project in the same posture it held before any counting ran. Derive each from a count or leave the slot undemonstrated.","A manifest slot carries a derivation, not an aspiration."
K22,"Refuse the figure. Measured truth from an experimental loop and annotation extracted from deposited structures are different objects, and the second inherits whatever defect its extraction convention carries. Split the count and record each with its own provenance.","No tool that helps produce an answer may also score it, and an annotation is not a measurement."
K23,"Refuse the narrowing, or re-register and rerun. A rule changed after a count invalidates the count. This is the same discipline as a stale freeze and it is not paid for in items.","Inclusion rules freeze before counting. A rule that changes after a count invalidates it."
K24,"Refuse ratification of that slot. A source field reading standard, conventional or assumed does not resolve, so the slot carries no provenance and no falsifier. Derive it or mark it undemonstrated and name which stages cannot run without it.","A slot whose source reads assumed fails validation."
K25,"Do not admit. The answer sits in text the subject has read. The exposure key covers whether the data was visible and this is a worse problem than that. Admission requires the source to postdate every subject's cutoff with the ruling written.","An item whose answer appears in its own source is contaminated by construction."
